state,city,population,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,year
ARIZONA,Springerville,1984.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,7.0,0.0,0.0,2019-12-31
ARIZONA,St. Johns,3520.0,12.0,1.0,4.0,1.0,6.0,59.0,29.0,29.0,1.0,1.0,2019-12-31
ARIZONA,Surprise,140962.0,138.0,4.0,28.0,46.0,60.0,2083.0,217.0,1729.0,137.0,10.0,2019-12-31
ARIZONA,Tempe,196499.0,889.0,8.0,141.0,209.0,531.0,7420.0,922.0,5891.0,607.0,19.0,2019-12-31
ARIZONA,Thatcher,5177.0,3.0,0.0,0.0,0.0,3.0,112.0,12.0,99.0,1.0,0.0,2019-12-31
ARIZONA,Tolleson,7399.0,68.0,0.0,4.0,20.0,44.0,666.0,206.0,390.0,70.0,0.0,2019-12-31
ARIZONA,Tucson,548374.0,3775.0,40.0,527.0,1105.0,2103.0,17943.0,2497.0,13196.0,2250.0,142.0,2019-12-31
ARIZONA,Wellton,3048.0,5.0,0.0,1.0,0.0,4.0,31.0,9.0,20.0,2.0,0.0,2019-12-31
ARIZONA,Wickenburg,7054.0,17.0,0.0,4.0,0.0,13.0,148.0,32.0,93.0,23.0,0.0,2019-12-31
ARIZONA,Willcox,3507.0,7.0,0.0,0.0,0.0,7.0,127.0,29.0,89.0,9.0,1.0,2019-12-31
ARIZONA,Williams,3251.0,26.0,0.0,0.0,0.0,26.0,66.0,8.0,52.0,6.0,0.0,2019-12-31
ARIZONA,Winslow,9393.0,126.0,0.0,4.0,9.0,113.0,445.0,35.0,380.0,30.0,2.0,2019-12-31
ARIZONA,Yuma,98769.0,376.0,11.0,27.0,29.0,309.0,2302.0,483.0,1586.0,233.0,14.0,2019-12-31
ARKANSAS,Alexander,3315.0,15.0,0.0,6.0,0.0,9.0,73.0,16.0,54.0,3.0,0.0,2019-12-31
ARKANSAS,Alma,5888.0,35.0,0.0,18.0,2.0,15.0,228.0,36.0,181.0,11.0,0.0,2019-12-31
ARKANSAS,Altus,729.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,12.0,0.0,0.0,2019-12-31
ARKANSAS,Amity,675.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2019-12-31
ARKANSAS,Ashdown,4370.0,13.0,0.0,3.0,0.0,10.0,102.0,22.0,74.0,6.0,0.0,2019-12-31
ARKANSAS,Ash Flat,1095.0,5.0,0.0,0.0,0.0,5.0,40.0,3.0,36.0,1.0,0.0,2019-12-31
ARKANSAS,Atkins,3037.0,11.0,0.0,6.0,0.0,5.0,76.0,7.0,60.0,9.0,0.0,2019-12-31
